image_path,occlusion_score_var_a,occlusion_score_var_b
Snowflakes/test/cadc__2018_03_06_0008__ca05e22c6f7024b1.jpg,0.11462779343128204,0.19249513745307922
Snowflakes/test/cadc__2018_03_06_0008__2b0d0421fac2dc90.jpg,0.115689218044281,0.2380334436893463
Snowflakes/test/cadc__2018_03_06_0008__45a772363e7dc038.jpg,0.10113799571990967,0.23358121514320374
Snowflakes/test/cadc__2018_03_06_0008__ebf56c7160c78897.jpg,0.07595666497945786,0.15305358171463013
Snowflakes/test/cadc__2018_03_06_0008__ccdd46136d88ac64.jpg,0.08980780839920044,0.17388904094696045
Snowflakes/test/cadc__2018_03_06_0008__bd34344dfeb77e73.jpg,0.11693514138460159,0.2540911138057709
Snowflakes/test/cadc__2018_03_06_0008__478ce5b313a75e4b.jpg,0.11082050204277039,0.18866664171218872
Snowflakes/test/cadc__2018_03_06_0008__4d231936c6c7d061.jpg,0.11722846329212189,0.21948058903217316
Snowflakes/test/cadc__2018_03_06_0008__1aad8284e5f1059c.jpg,0.10670417547225952,0.34069061279296875
Snowflakes/test/cadc__2018_03_06_0008__7c57129fbe393da9.jpg,0.0943164974451065,0.24229371547698975
Snowflakes/test/cadc__2018_03_06_0008__a8f70ce76b56b0c8.jpg,0.08869493752717972,0.18831467628479004
Snowflakes/test/cadc__2018_03_06_0008__00138915058d4e4a.jpg,0.06434725224971771,0.16433392465114594
Snowflakes/test/cadc__2018_03_06_0008__c3969e98058e5214.jpg,0.09183774888515472,0.16815215349197388
Snowflakes/test/cadc__2018_03_06_0008__23c552a3bb539b54.jpg,0.1063472181558609,0.2311609983444214
Snowflakes/test/cadc__2018_03_06_0008__6a5dff996ff90f2e.jpg,0.057686783373355865,0.18626493215560913
Snowflakes/test/cadc__2018_03_06_0008__0f8d81afd158ad22.jpg,0.08317290246486664,0.1864544004201889
Snowflakes/test/cadc__2018_03_06_0008__93afa82727ce4f23.jpg,0.1124899834394455,0.2081589698791504
Snowflakes/test/cadc__2018_03_06_0008__134cd289d1cc0186.jpg,0.11663902550935745,0.2710486948490143
Snowflakes/test/cadc__2018_03_06_0008__09c4a6e96cd9a2ec.jpg,0.12433110177516937,0.2737972140312195
Snowflakes/test/cadc__2018_03_06_0008__0394f9b0b14891fc.jpg,0.13394203782081604,0.3337936997413635
Snowflakes/test/cadc__2018_03_06_0008__e0446e45296dd20d.jpg,0.08735455572605133,0.18131348490715027
Snowflakes/test/cadc__2018_03_06_0008__29402bebbd190530.jpg,0.09620141983032227,0.19042573869228363
Snowflakes/test/cadc__2018_03_06_0008__36fdcb81268cedc9.jpg,0.15240080654621124,0.3146410584449768
Snowflakes/test/cadc__2018_03_06_0008__15a7e55da0ea4fce.jpg,0.09743791818618774,0.33143937587738037
Snowflakes/test/cadc__2018_03_06_0008__4069b232daf7ece9.jpg,0.13592995703220367,0.29356688261032104
Snowflakes/test/cadc__2018_03_06_0008__e5857999c30978c4.jpg,0.1387709081172943,0.3500891625881195
Snowflakes/test/cadc__2018_03_06_0008__7e3d08fd9092b34e.jpg,0.12852463126182556,0.3423824608325958
Snowflakes/test/cadc__2018_03_06_0008__797ff3c37e3f65c2.jpg,0.09376213699579239,0.18532013893127441
Snowflakes/test/cadc__2018_03_06_0008__837cc9884b8348ca.jpg,0.06833330541849136,0.20653846859931946
Snowflakes/test/cadc__2018_03_06_0008__63199d0a21f9d4a0.jpg,0.12695178389549255,0.23967571556568146
Snowflakes/test/cadc__2018_03_06_0008__46e2896ff7193195.jpg,0.1114082783460617,0.2634390592575073
Snowflakes/test/cadc__2018_03_06_0008__3cd818e0f96529b5.jpg,0.12396059930324554,0.24385391175746918
Snowflakes/test/cadc__2018_03_06_0008__c4f07152c24d31dd.jpg,0.0998230129480362,0.16550809144973755
Snowflakes/test/cadc__2018_03_06_0008__e89a832af2c099f9.jpg,0.13375967741012573,0.30066800117492676
Snowflakes/test/cadc__2018_03_06_0008__3ed79cf859e2910b.jpg,0.13658088445663452,0.35287749767303467
Snowflakes/test/cadc__2018_03_06_0008__80a783f75b559ad4.jpg,0.10654182732105255,0.25534069538116455
Snowflakes/test/cadc__2018_03_06_0008__6c99419c780e0e53.jpg,0.08131717145442963,0.17967861890792847
Snowflakes/test/cadc__2018_03_06_0008__83fd35112003db36.jpg,0.09830207377672195,0.2807164490222931
Snowflakes/test/cadc__2018_03_06_0008__3ecc639771a68ee5.jpg,0.058300912380218506,0.1469300240278244
Snowflakes/test/cadc__2018_03_06_0008__8cabe79f75330f76.jpg,0.10982018709182739,0.22290454804897308
Snowflakes/test/cadc__2018_03_06_0008__5d8ff2b3d6cee4fb.jpg,0.1063990369439125,0.2415010929107666
Snowflakes/test/cadc__2018_03_06_0008__dcf59cf32e49ed04.jpg,0.11424863338470459,0.22684025764465332
Snowflakes/test/cadc__2018_03_06_0008__a2f5bd0b2d7629df.jpg,0.09033647924661636,0.19591820240020752
Snowflakes/test/cadc__2018_03_06_0008__f1d261eacbd69b1b.jpg,0.11209499835968018,0.2122938632965088
Snowflakes/test/cadc__2018_03_06_0008__d4f5e44363ef2a7f.jpg,0.09544447064399719,0.18463701009750366
Snowflakes/test/cadc__2018_03_06_0008__e3e68fca201d22c3.jpg,0.08440525829792023,0.14579585194587708
Snowflakes/test/cadc__2018_03_06_0008__1f93010422094f44.jpg,0.07340454310178757,0.15490591526031494
Snowflakes/test/cadc__2018_03_06_0008__87fb5799c056027c.jpg,0.09435142576694489,0.19933712482452393
Snowflakes/test/cadc__2018_03_06_0008__772461c9af1370b7.jpg,0.06476219743490219,0.14597243070602417
Snowflakes/test/cadc__2018_03_06_0008__720714009e7487dc.jpg,0.11908400058746338,0.4113699197769165
Snowflakes/test/cadc__2018_03_06_0008__3053e81f2636b0d6.jpg,0.03794680908322334,0.18299785256385803
Snowflakes/test/cadc__2018_03_06_0008__70053cedd4e5d7c6.jpg,0.12843264639377594,0.22219185531139374
Snowflakes/test/cadc__2018_03_06_0008__411cab9ab7f143fd.jpg,0.15952520072460175,0.30421751737594604
Snowflakes/test/cadc__2018_03_06_0008__65d22b83d05500e3.jpg,0.11501628160476685,0.304252028465271
Snowflakes/test/cadc__2018_03_06_0008__d4e91558a0072fc1.jpg,0.03156973794102669,0.32597416639328003
Snowflakes/test/cadc__2018_03_06_0008__aa46127c8cb95008.jpg,0.09191601723432541,0.16772350668907166
Snowflakes/test/cadc__2018_03_06_0008__086ee6731a0a7ab0.jpg,0.1074637919664383,0.2440134733915329
Snowflakes/test/cadc__2018_03_06_0008__16dd5db2b1a110ed.jpg,0.1087268516421318,0.22654208540916443
Snowflakes/test/cadc__2018_03_06_0008__24e8ed9de5a3e333.jpg,0.10592686384916306,0.17737485468387604
Snowflakes/test/cadc__2018_03_06_0008__369058ece44b32f5.jpg,0.14077657461166382,0.2511059641838074
Snowflakes/test/cadc__2018_03_06_0008__33330c4189a9b4cb.jpg,0.13530316948890686,0.2598899006843567
Snowflakes/test/cadc__2018_03_06_0008__d6e3d30538d9a491.jpg,0.07861079275608063,0.16825789213180542
Snowflakes/test/cadc__2018_03_06_0008__1384914bd7d2093e.jpg,0.08684375882148743,0.24750679731369019
Snowflakes/test/cadc__2018_03_06_0008__48fc7aac47a57665.jpg,0.12252016365528107,0.24872758984565735
Snowflakes/test/cadc__2018_03_06_0008__14a35b28cc6ef3a1.jpg,0.06993354856967926,0.24604679644107819
Snowflakes/test/cadc__2018_03_06_0008__ba98a0cf21bf7610.jpg,0.09614022076129913,0.21769897639751434
Snowflakes/test/cadc__2018_03_06_0008__4bceef4ac34bf3d9.jpg,0.10681658983230591,0.2157057821750641
Snowflakes/test/cadc__2018_03_06_0008__640515ee4998b375.jpg,0.10419625043869019,0.2994837760925293
Snowflakes/test/cadc__2018_03_06_0008__be49a79814544b53.jpg,0.10416653752326965,0.247938871383667
Snowflakes/test/cadc__2018_03_06_0008__b3b530c7ad0ca97a.jpg,0.13165771961212158,0.4390300512313843
Snowflakes/test/cadc__2018_03_06_0008__543e65a17d043a49.jpg,0.11005150526762009,0.2729001045227051
Snowflakes/test/cadc__2018_03_06_0008__ac7ae43e5b5a22c8.jpg,0.08939163386821747,0.21971739828586578
Snowflakes/test/cadc__2018_03_06_0008__94406ff2227d5612.jpg,0.09562575072050095,0.2737503945827484
Snowflakes/test/cadc__2018_03_06_0008__6376eb81c7ff46a3.jpg,0.13729199767112732,0.2656717896461487
Snowflakes/test/cadc__2018_03_06_0008__dc298050f14fa7c3.jpg,0.13464802503585815,0.2758917510509491
Snowflakes/test/cadc__2018_03_06_0008__06be69f6d9c8a129.jpg,0.08265849947929382,0.1883535236120224
Snowflakes/test/cadc__2018_03_06_0008__707fff0534edeb71.jpg,0.17796631157398224,0.34070098400115967
Snowflakes/test/cadc__2018_03_06_0008__1fb2c6b99ecd3418.jpg,0.12144891917705536,0.24130845069885254
Snowflakes/test/cadc__2018_03_06_0008__f414527b382f7d97.jpg,0.1526317596435547,0.31579500436782837
Snowflakes/test/cadc__2018_03_06_0008__dac9bc23ab5432e9.jpg,0.13676220178604126,0.27581045031547546
Snowflakes/test/cadc__2018_03_06_0008__50c2f6173f2e247c.jpg,0.10473808646202087,0.22818756103515625
Snowflakes/test/cadc__2018_03_06_0008__e65aae3057024168.jpg,0.10932234674692154,0.2805783748626709
Snowflakes/test/cadc__2018_03_06_0008__11a572ae19cdfecd.jpg,0.1184307262301445,0.23483841121196747
Snowflakes/test/cadc__2018_03_06_0008__86c5274f1c366157.jpg,0.14887426793575287,0.2402496337890625
Snowflakes/test/cadc__2018_03_06_0008__7af92f2c62f3705f.jpg,0.12745927274227142,0.2821694612503052
